* Measurement data measured by REW V5.30.1
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2023 12:33:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DJI_PRINTED_50g_p2
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
230.34668 24.13937442324512 -85.6025
230.712891 31.54337442324512 -25.8789
231.079102 37.85437442324512 -23.6377
231.445312 41.88137442324512 -23.7686
231.811523 44.30537442324512 -21.5312
232.177734 45.31037442324512 -17.0332
232.543945 44.88037442324512 -10.3975
232.910156 42.721374423245116 -0.5352
233.276367 37.93337442324512 19.1211
233.642578 32.18537442324512 89.8174
234.008789 37.94737442324512 149.002
234.375 41.36137442324512 165.0986
234.741211 42.22037442324512 172.3486
235.107422 41.18637442324512 175.1543
235.473633 38.24837442324512 172.3662
235.839844 32.97037442324512 155.5137
236.206055 28.49337442324512 96.4463
236.572266 31.75137442324512 47.5498
236.938477 34.18837442324512 25.3516
237.304688 35.64937442324512 8.1787
237.670898 36.904374423245116 -4.3213
238.037109 37.79337442324512 -9.2021
238.40332 37.97337442324512 -5.4043
238.769531 37.49737442324512 8.083
239.135742 37.13137442324512 31.7891
239.501953 37.898374423245116 59.3262
239.868164 39.35837442324512 81.1377
240.234375 40.43837442324512 96.0303
240.600586 40.64437442324512 106.4629
240.966797 39.76637442324512 114.0693
241.333008 37.48137442324512 119.0713
241.699219 32.84237442324512 118.5088
242.06543 23.20037442324512 75.3574
242.431641 30.35537442324512 -7.0615
242.797852 35.886374423245115 -12.7979
243.164062 38.52737442324512 -11.0752
243.530273 39.72237442324512 -8.5664
243.896484 39.95937442324512 -7.1494
244.262695 39.49637442324512 -8.0723
244.628906 38.56637442324512 -12.2822
244.995117 37.44537442324512 -19.8418
245.361328 36.29637442324512 -29.3311
245.727539 34.92637442324512 -39.167
246.09375 32.877374423245115 -50.6484
246.459961 30.09737442324512 -70.8008
246.826172 28.95337442324512 -104.9756
247.192383 30.798374423245118 -127.1709
247.558594 32.138374423245125 -128.1592
247.924805 31.78237442324512 -113.6719
248.291016 30.26137442324512 -79.1729
248.657227 31.09437442324512 -24.5176
249.023438 34.72037442324512 18.5479
249.389648 37.77737442324512 49.3037
249.755859 39.91637442324512 77.1279
250.12207 41.56437442324512 104.9678
250.488281 43.02237442324512 132.3115
250.854492 44.288374423245116 157.7803
251.220703 45.17937442324512 -179.1133
251.586914 45.52737442324512 -157.8701
251.953125 45.25537442324512 -137.6699
252.319336 44.36437442324512 -117.8711
252.685547 42.92537442324512 -98.4609
253.051758 41.05937442324512 -80.708
253.417969 38.94837442324512 -67.8467
253.78418 37.10937442324512 -64.1787
254.150391 36.660374423245116 -67.7051
254.516602 37.54637442324512 -65.9336
254.882812 38.34037442324512 -52.04
255.249023 38.721374423245116 -24.3887
255.615234 40.06937442324512 14.748
255.981445 43.02937442324512 50.5273
256.347656 45.97537442324512 75.9551
256.713867 47.97337442324512 94.7803
257.080078 48.83737442324512 110.3027
257.446289 48.48837442324512 124.2773
257.8125 46.70437442324512 137.8379
258.178711 42.83437442324512 152.4346
258.544922 34.20437442324512 175.1348
258.911133 29.98037442324512 -33.2695
259.277344 37.92937442324512 -1.5254
259.643555 39.23837442324512 20.6865
260.009766 37.66837442324512 53.0371
260.375977 36.605374423245124 109.3477
260.742188 39.71737442324512 159.125
261.108398 42.40537442324512 -172.8389
261.474609 43.30037442324512 -152.5645
261.84082 42.46537442324512 -133.5996
262.207031 39.80037442324512 -111.6641
262.573242 34.96937442324512 -78.207
262.939453 30.11137442324512 -9.8428
263.305664 31.91337442324512 61.7256
263.671875 34.23537442324512 110.1689
264.038086 36.47537442324512 152.1992
264.404297 38.74437442324512 -175.5713
264.770508 40.04337442324512 -153.3477
265.136719 39.68637442324512 -138.3994
265.50293 36.85037442324512 -131.2168
265.869141 29.37037442324512 -155.1387
266.235352 33.71937442324512 121.4863
266.601562 39.86837442324512 115.4395
266.967773 42.43037442324512 120.7842
267.333984 42.84037442324512 128.3477
267.700195 41.24537442324512 136.3389
268.066406 36.63437442324512 143.0977
268.432617 19.37837442324512 111.0801
268.798828 34.89737442324512 -4.5859
269.165039 40.39537442324512 2.3682
269.53125 42.46737442324512 12.3535
269.897461 42.68537442324512 23.8916
270.263672 41.31237442324512 37.751
270.629883 38.05037442324512 57.751
270.996094 32.79237442324512 102.6699
271.362305 34.386374423245115 178.335
271.728516 39.18037442324512 -149.7871
272.094727 41.92437442324512 -134.459
272.460938 43.31337442324512 -124.4365
272.827148 43.81837442324512 -117.3701
