* Measurement data measured by REW V5.30.1
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2023 11:40:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CICADA_50g_p2
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
252.319336 44.85345105739507 52.2124
252.685547 48.85345105739507 12.4873
253.051758 50.884451057395076 -17.9663
253.417969 51.45245105739507 -46.4746
253.78418 50.86845105739507 -75.9229
254.150391 49.42245105739507 -108.7471
254.516602 47.741451057395075 -146.9756
254.882812 46.87445105739507 172.2061
255.249023 47.085451057395076 137.8999
255.615234 47.689451057395075 114.4131
255.981445 48.433451057395075 99.2891
256.347656 49.38245105739507 87.6421
256.713867 50.36145105739507 75.1465
257.080078 51.019451057395074 60.0552
257.446289 51.092451057395074 42.5137
257.8125 50.43545105739507 23.23
258.178711 48.93145105739507 2.9697
258.544922 46.40445105739507 -17.3701
258.911133 42.43145105739507 -36.1353
259.277344 35.72445105739507 -47.106
259.643555 26.501451057395073 13.0288
260.009766 34.66445105739507 50.8062
260.375977 38.415451057395074 42.7798
260.742188 40.141451057395074 32.4058
261.108398 41.06545105739507 23.249
261.474609 41.61145105739507 14.8516
261.84082 41.78545105739507 6.2808
262.207031 41.390451057395076 -2.2266
262.573242 40.27645105739507 -8.8193
262.939453 38.60845105739507 -10.3647
263.305664 37.214451057395074 -5.7754
263.671875 36.72545105739508 -2.8325
264.038086 35.97245105739508 -10.1592
264.404297 33.07845105739507 -30.9619
264.770508 26.230451057395072 -95.9209
265.136719 32.64045105739507 164.0674
265.50293 38.39545105739507 127.9224
265.869141 41.06245105739507 99.7534
266.235352 41.906451057395074 72.2773
266.601562 41.403451057395074 44.251
266.967773 39.81045105739507 16.5298
267.333984 37.40445105739507 -6.1226
267.700195 35.39345105739507 -12.3013
268.066406 37.192451057395076 -7.4697
268.432617 40.99545105739507 -18.1729
268.798828 43.78945105739507 -39.4648
269.165039 45.06345105739507 -65.0537
269.53125 44.64845105739507 -94.0151
269.897461 42.147451057395074 -130.208
270.263672 37.930451057395075 167.772
270.629883 39.81045105739507 85.2056
270.996094 43.335451057395076 41.0747
271.362305 44.04145105739507 13.6895
271.728516 41.56045105739507 -1.4414
272.094727 36.48945105739507 26.978
272.460938 42.143451057395076 66.7617
272.827148 46.561451057395075 57.7637
273.193359 47.811451057395075 39.9492
273.55957 46.23045105739507 21.2544
273.925781 40.12545105739507 9.7686
274.291992 34.30445105739507 105.7046
